sample_id,price
100179,24.9
245611,22.9
146263,27.1
95658,20.2
36806,22.2
148239,12.8
92659,15.3
3780,23.0
196940,18.4
20472,15.1
121721,15.4
127336,15.6
20801,53.5
30103,11.6
68691,24.9
230703,15.9
3342,23.0
115635,17.0
221565,10.1
265927,13.4
290421,16.4
222203,10.9
40595,21.3
157931,25.6
41814,21.8
250478,29.5
130232,12.7
155825,23.1
42104,16.3
148748,55.5
247548,33.2
262167,16.4
100183,14.1
168985,20.1
18411,58.1
111287,16.2
156813,11.8
194861,10.3
104298,29.5
59033,23.1
31133,9.82
299318,16.2
255038,11.2
220578,26.2
38995,26.2
253068,14.7
282143,34.6
226531,36.0
233215,46.2
33295,14.7
198185,19.8
238324,12.7
121672,21.4
21434,16.2
61747,25.5
270417,30.3
105202,31.7
202880,39.4
79564,23.4
251317,15.1
205434,17.0
15315,14.9
276163,20.6
245021,27.4
25664,26.1
90451,11.0
5215,25.1
68223,34.0
135447,35.8
58777,21.2
73979,33.7
173699,13.4
201120,27.9
64448,19.2
243239,21.1
280496,18.2
293812,14.2
35203,11.7
31858,30.5
162188,9.91
193450,19.6
34991,16.7
232133,35.8
294874,6.8
160416,37.4
104466,26.1
284624,12.1
19742,67.0
87611,32.0
227957,32.9
68427,23.1
204601,29.4
107223,8.31
237588,24.8
1313,8.91
196900,19.0
22107,32.0
73030,21.4
181909,43.2
23045,24.3
142744,61.4
169122,15.2
239815,21.7
41952,15.6
227911,19.6
31484,17.2
252567,14.6
225977,16.8
48243,16.5
201046,30.6
161001,15.2
292827,26.5
159584,12.5
281316,36.3
224188,11.0
281823,47.5
214851,28.3
67570,21.6
102740,38.6
11978,43.3
289925,21.3
40458,13.5
278700,27.2
38662,17.9
99886,20.4
172816,14.0
275563,14.3
26172,20.4
277062,15.9
82592,28.3
266300,13.2
202617,41.8
234007,14.4
78684,16.8
42824,19.2
128386,12.6
252965,12.8
277363,16.3
54646,19.4
149645,37.6
206564,17.4
29321,24.7
193776,24.4
60214,15.2
133606,28.5
95844,26.1
75072,13.9
71643,17.4
297677,22.5
298180,11.5
267622,21.4
129731,23.4
72776,47.3
286221,12.3
93467,13.0
173148,13.2
143720,66.3
52592,12.4
225085,17.6
213670,12.8
142420,59.5
1008,14.4
128631,41.8
44224,21.4
16363,30.3
64551,27.6
217996,21.4
262406,11.7
165161,16.4
238864,27.6
227930,22.4
77202,18.0
193685,21.6
114683,28.1
197108,35.0
200477,7.66
144035,45.8
281994,22.1
63221,27.9
269260,20.5
284873,10.6
94407,20.2
243579,22.9
51262,28.0
115285,32.7
